instant,dteday,season,yr,mnth,weathersit,hum,casual,registered,cnt
1,2011-01-01,1,0,1,2,0.805833,331,654,985
2,2011-01-02,1,0,1,2,0.696087,131,670,801
3,2011-01-03,1,0,1,1,0.437273,120,1229,1349
4,2011-01-04,1,0,1,1,0.590435,108,1454,1562
5,2011-01-05,1,0,1,1,0.436957,82,1518,1600
6,2011-01-06,1,0,1,1,0.518261,88,1518,1606
7,2011-01-07,1,0,1,2,0.498696,148,1362,1510
8,2011-01-08,1,0,1,2,0.535833,68,891,959
9,2011-01-09,1,0,1,1,0.434167,54,768,822
10,2011-01-10,1,0,1,1,0.482917,41,1280,1321
11,2011-01-11,1,0,1,2,0.686364,43,1220,1263
12,2011-01-12,1,0,1,1,0.599545,25,1137,1162
13,2011-01-13,1,0,1,1,0.470417,38,1368,1406
14,2011-01-14,1,0,1,1,0.537826,54,1367,1421
15,2011-01-15,1,0,1,2,0.49875,222,1026,1248
16,2011-01-16,1,0,1,1,0.48375,251,953,1204
17,2011-01-17,1,0,1,2,0.5375,117,883,1000
18,2011-01-18,1,0,1,2,0.861667,9,674,683
19,2011-01-19,1,0,1,2,0.741739,78,1572,1650
20,2011-01-20,1,0,1,2,0.538333,83,1844,1927
21,2011-01-21,1,0,1,1,0.457083,75,1468,1543
22,2011-01-22,1,0,1,1,0.4,93,888,981
23,2011-01-23,1,0,1,1,0.436522,150,836,986
24,2011-01-24,1,0,1,1,0.491739,86,1330,1416
25,2011-01-25,1,0,1,2,0.616957,186,1799,1985
26,2011-01-26,1,0,1,3,0.8625,34,472,506
27,2011-01-27,1,0,1,1,0.6875,15,416,431
28,2011-01-28,1,0,1,2,0.793043,38,1129,1167
29,2011-01-29,1,0,1,1,0.651739,123,975,1098
30,2011-01-30,1,0,1,1,0.722174,140,956,1096
31,2011-01-31,1,0,1,2,0.60375,42,1459,1501
32,2011-02-01,1,0,2,2,0.829565,47,1313,1360
33,2011-02-02,1,0,2,2,0.775417,72,1454,1526
34,2011-02-03,1,0,2,1,0.437826,61,1489,1550
35,2011-02-04,1,0,2,2,0.585217,88,1620,1708
36,2011-02-05,1,0,2,2,0.929167,100,905,1005
37,2011-02-06,1,0,2,1,0.568333,354,1269,1623
38,2011-02-07,1,0,2,1,0.738333,120,1592,1712
39,2011-02-08,1,0,2,1,0.537917,64,1466,1530
40,2011-02-09,1,0,2,2,0.494783,53,1552,1605
41,2011-02-10,1,0,2,1,0.437391,47,1491,1538
42,2011-02-11,1,0,2,1,0.506364,149,1597,1746
43,2011-02-12,1,0,2,1,0.544167,288,1184,1472
44,2011-02-13,1,0,2,1,0.457391,397,1192,1589
45,2011-02-14,1,0,2,1,0.375833,208,1705,1913
46,2011-02-15,1,0,2,1,0.314348,140,1675,1815
47,2011-02-16,1,0,2,1,0.423478,218,1897,2115
48,2011-02-17,1,0,2,1,0.505,259,2216,2475
49,2011-02-18,1,0,2,1,0.516667,579,2348,2927
50,2011-02-19,1,0,2,1,0.187917,532,1103,1635
51,2011-02-20,1,0,2,1,0.407826,639,1173,1812
52,2011-02-21,1,0,2,2,0.605,195,912,1107
53,2011-02-22,1,0,2,1,0.577778,74,1376,1450
54,2011-02-23,1,0,2,1,0.423043,139,1778,1917
55,2011-02-24,1,0,2,2,0.697391,100,1707,1807
56,2011-02-25,1,0,2,2,0.712174,120,1341,1461
57,2011-02-26,1,0,2,1,0.537917,424,1545,1969
58,2011-02-27,1,0,2,1,0.68,694,1708,2402
59,2011-02-28,1,0,2,2,0.876364,81,1365,1446
60,2011-03-01,1,0,3,1,0.535,137,1714,1851
61,2011-03-02,1,0,3,1,0.449583,231,1903,2134
62,2011-03-03,1,0,3,1,0.318333,123,1562,1685
63,2011-03-04,1,0,3,2,0.610417,214,1730,1944
64,2011-03-05,1,0,3,2,0.789167,640,1437,2077
65,2011-03-06,1,0,3,2,0.948261,114,491,605
66,2011-03-07,1,0,3,1,0.551304,244,1628,1872
67,2011-03-08,1,0,3,1,0.420833,316,1817,2133
68,2011-03-09,1,0,3,2,0.775417,191,1700,1891
69,2011-03-10,1,0,3,3,0.0,46,577,623
70,2011-03-11,1,0,3,2,0.649565,247,1730,1977
71,2011-03-12,1,0,3,1,0.594583,724,1408,2132
72,2011-03-13,1,0,3,1,0.527391,982,1435,2417
73,2011-03-14,1,0,3,1,0.496957,359,1687,2046
74,2011-03-15,1,0,3,2,0.655652,289,1767,2056
75,2011-03-16,1,0,3,2,0.776522,321,1871,2192
76,2011-03-17,1,0,3,1,0.602917,424,2320,2744
77,2011-03-18,1,0,3,1,0.525217,884,2355,3239
78,2011-03-19,1,0,3,1,0.379167,1424,1693,3117
79,2011-03-20,1,0,3,1,0.47375,1047,1424,2471
80,2011-03-21,2,0,3,2,0.737391,401,1676,2077
81,2011-03-22,2,0,3,1,0.624583,460,2243,2703
82,2011-03-23,2,0,3,2,0.839565,203,1918,2121
83,2011-03-24,2,0,3,2,0.805833,166,1699,1865
84,2011-03-25,2,0,3,1,0.495,300,1910,2210
85,2011-03-26,2,0,3,1,0.394167,981,1515,2496
86,2011-03-27,2,0,3,2,0.493913,472,1221,1693
87,2011-03-28,2,0,3,1,0.302174,222,1806,2028
88,2011-03-29,2,0,3,1,0.314167,317,2108,2425
89,2011-03-30,2,0,3,2,0.646667,168,1368,1536
90,2011-03-31,2,0,3,3,0.918333,179,1506,1685
91,2011-04-01,2,0,4,2,0.68625,307,1920,2227
92,2011-04-02,2,0,4,2,0.65375,898,1354,2252
93,2011-04-03,2,0,4,1,0.48,1651,1598,3249
94,2011-04-04,2,0,4,1,0.42625,734,2381,3115
95,2011-04-05,2,0,4,2,0.642083,167,1628,1795
96,2011-04-06,2,0,4,1,0.470833,413,2395,2808
97,2011-04-07,2,0,4,1,0.602917,571,2570,3141
98,2011-04-08,2,0,4,2,0.83625,172,1299,1471
99,2011-04-09,2,0,4,2,0.8775,879,1576,2455
100,2011-04-10,2,0,4,2,0.8575,1188,1707,2895
101,2011-04-11,2,0,4,2,0.716956,855,2493,3348
102,2011-04-12,2,0,4,2,0.739167,257,1777,2034
103,2011-04-13,2,0,4,2,0.819167,209,1953,2162
104,2011-04-14,2,0,4,1,0.540417,529,2738,3267
105,2011-04-15,2,0,4,1,0.67125,642,2484,3126
106,2011-04-16,2,0,4,3,0.888333,121,674,795
107,2011-04-17,2,0,4,1,0.479583,1558,2186,3744
108,2011-04-18,2,0,4,1,0.5425,669,2760,3429
109,2011-04-19,2,0,4,2,0.665833,409,2795,3204
110,2011-04-20,2,0,4,1,0.614167,613,3331,3944
111,2011-04-21,2,0,4,1,0.407083,745,3444,4189
112,2011-04-22,2,0,4,2,0.729583,177,1506,1683
113,2011-04-23,2,0,4,2,0.887917,1462,2574,4036
114,2011-04-24,2,0,4,2,0.810833,1710,2481,4191
115,2011-04-25,2,0,4,1,0.776667,773,3300,4073
116,2011-04-26,2,0,4,1,0.729167,678,3722,4400
117,2011-04-27,2,0,4,2,0.835417,547,3325,3872
118,2011-04-28,2,0,4,2,0.700833,569,3489,4058
119,2011-04-29,2,0,4,1,0.457083,878,3717,4595
120,2011-04-30,2,0,4,1,0.503333,1965,3347,5312
121,2011-05-01,2,0,5,2,0.762083,1138,2213,3351
122,2011-05-02,2,0,5,2,0.73,847,3554,4401
123,2011-05-03,2,0,5,2,0.697083,603,3848,4451
124,2011-05-04,2,0,5,2,0.737083,255,2378,2633
125,2011-05-05,2,0,5,1,0.444167,614,3819,4433
126,2011-05-06,2,0,5,1,0.59,894,3714,4608
127,2011-05-07,2,0,5,1,0.54125,1612,3102,4714
128,2011-05-08,2,0,5,1,0.631667,1401,2932,4333
129,2011-05-09,2,0,5,1,0.58875,664,3698,4362
130,2011-05-10,2,0,5,1,0.489167,694,4109,4803
131,2011-05-11,2,0,5,1,0.632917,550,3632,4182
132,2011-05-12,2,0,5,1,0.7475,695,4169,4864
133,2011-05-13,2,0,5,2,0.863333,692,3413,4105
134,2011-05-14,2,0,5,2,0.9225,902,2507,3409
135,2011-05-15,2,0,5,2,0.867083,1582,2971,4553
136,2011-05-16,2,0,5,1,0.787917,773,3185,3958
137,2011-05-17,2,0,5,2,0.837917,678,3445,4123
138,2011-05-18,2,0,5,2,0.87,536,3319,3855
139,2011-05-19,2,0,5,2,0.829583,735,3840,4575
140,2011-05-20,2,0,5,1,0.719583,909,4008,4917
141,2011-05-21,2,0,5,1,0.626667,2258,3547,5805
142,2011-05-22,2,0,5,1,0.749583,1576,3084,4660
143,2011-05-23,2,0,5,2,0.81,836,3438,4274
144,2011-05-24,2,0,5,2,0.740833,659,3833,4492
145,2011-05-25,2,0,5,1,0.69625,740,4238,4978
146,2011-05-26,2,0,5,1,0.6775,758,3919,4677
147,2011-05-27,2,0,5,1,0.65375,871,3808,4679
148,2011-05-28,2,0,5,1,0.729583,2001,2757,4758
149,2011-05-29,2,0,5,1,0.81875,2355,2433,4788
150,2011-05-30,2,0,5,1,0.685,1549,2549,4098
151,2011-05-31,2,0,5,1,0.636667,673,3309,3982
152,2011-06-01,2,0,6,2,0.677083,513,3461,3974
153,2011-06-02,2,0,6,1,0.305,736,4232,4968
154,2011-06-03,2,0,6,1,0.354167,898,4414,5312
155,2011-06-04,2,0,6,1,0.45625,1869,3473,5342
156,2011-06-05,2,0,6,2,0.6525,1685,3221,4906
157,2011-06-06,2,0,6,1,0.6,673,3875,4548
158,2011-06-07,2,0,6,1,0.597917,763,4070,4833
159,2011-06-08,2,0,6,1,0.622083,676,3725,4401
160,2011-06-09,2,0,6,2,0.568333,563,3352,3915
161,2011-06-10,2,0,6,1,0.605,815,3771,4586
162,2011-06-11,2,0,6,1,0.654583,1729,3237,4966
163,2011-06-12,2,0,6,1,0.747917,1467,2993,4460
164,2011-06-13,2,0,6,1,0.494583,863,4157,5020
165,2011-06-14,2,0,6,1,0.507083,727,4164,4891
166,2011-06-15,2,0,6,1,0.471667,769,4411,5180
167,2011-06-16,2,0,6,2,0.688333,545,3222,3767
168,2011-06-17,2,0,6,1,0.735833,863,3981,4844
169,2011-06-18,2,0,6,1,0.670417,1807,3312,5119
170,2011-06-19,2,0,6,2,0.666667,1639,3105,4744
171,2011-06-20,2,0,6,2,0.74625,699,3311,4010
172,2011-06-21,3,0,6,2,0.770417,774,4061,4835
173,2011-06-22,3,0,6,1,0.7075,661,3846,4507
174,2011-06-23,3,0,6,2,0.703333,746,4044,4790
175,2011-06-24,3,0,6,1,0.573333,969,4022,4991
176,2011-06-25,3,0,6,1,0.483333,1782,3420,5202
177,2011-06-26,3,0,6,1,0.513333,1920,3385,5305
178,2011-06-27,3,0,6,2,0.658333,854,3854,4708
179,2011-06-28,3,0,6,1,0.634167,732,3916,4648
180,2011-06-29,3,0,6,1,0.497917,848,4377,5225
181,2011-06-30,3,0,6,1,0.434167,1027,4488,5515
182,2011-07-01,3,0,7,1,0.39625,1246,4116,5362
183,2011-07-02,3,0,7,1,0.444583,2204,2915,5119
184,2011-07-03,3,0,7,2,0.6825,2282,2367,4649
185,2011-07-04,3,0,7,2,0.637917,3065,2978,6043
186,2011-07-05,3,0,7,1,0.590417,1031,3634,4665
187,2011-07-06,3,0,7,1,0.743333,784,3845,4629
188,2011-07-07,3,0,7,1,0.65125,754,3838,4592
189,2011-07-08,3,0,7,2,0.757917,692,3348,4040
190,2011-07-09,3,0,7,1,0.609167,1988,3348,5336
191,2011-07-10,3,0,7,1,0.578333,1743,3138,4881
192,2011-07-11,3,0,7,1,0.635833,723,3363,4086
193,2011-07-12,3,0,7,1,0.559167,662,3596,4258
194,2011-07-13,3,0,7,1,0.631667,748,3594,4342
195,2011-07-14,3,0,7,1,0.47625,888,4196,5084
196,2011-07-15,3,0,7,1,0.59125,1318,4220,5538
197,2011-07-16,3,0,7,1,0.585,2418,3505,5923
198,2011-07-17,3,0,7,1,0.604167,2006,3296,5302
199,2011-07-18,3,0,7,1,0.65125,841,3617,4458
200,2011-07-19,3,0,7,1,0.650417,752,3789,4541
201,2011-07-20,3,0,7,1,0.707083,644,3688,4332
202,2011-07-21,3,0,7,2,0.69125,632,3152,3784
203,2011-07-22,3,0,7,1,0.580417,562,2825,3387
204,2011-07-23,3,0,7,1,0.5,987,2298,3285
205,2011-07-24,3,0,7,1,0.550833,1050,2556,3606
206,2011-07-25,3,0,7,1,0.757083,568,3272,3840
207,2011-07-26,3,0,7,1,0.540833,750,3840,4590
208,2011-07-27,3,0,7,1,0.402917,755,3901,4656
209,2011-07-28,3,0,7,1,0.583333,606,3784,4390
210,2011-07-29,3,0,7,1,0.5425,670,3176,3846
211,2011-07-30,3,0,7,1,0.465833,1559,2916,4475
212,2011-07-31,3,0,7,1,0.480833,1524,2778,4302
213,2011-08-01,3,0,8,1,0.550833,729,3537,4266
214,2011-08-02,3,0,8,1,0.49125,801,4044,4845
215,2011-08-03,3,0,8,2,0.6575,467,3107,3574
216,2011-08-04,3,0,8,2,0.7575,799,3777,4576
217,2011-08-05,3,0,8,1,0.630833,1023,3843,4866
218,2011-08-06,3,0,8,2,0.755,1521,2773,4294
219,2011-08-07,3,0,8,1,0.752917,1298,2487,3785
220,2011-08-08,3,0,8,1,0.592083,846,3480,4326
221,2011-08-09,3,0,8,1,0.570417,907,3695,4602
222,2011-08-10,3,0,8,1,0.424167,884,3896,4780
223,2011-08-11,3,0,8,1,0.42375,812,3980,4792
224,2011-08-12,3,0,8,1,0.415,1051,3854,4905
225,2011-08-13,3,0,8,2,0.729583,1504,2646,4150
226,2011-08-14,3,0,8,2,0.8175,1338,2482,3820
227,2011-08-15,3,0,8,1,0.712083,775,3563,4338
228,2011-08-16,3,0,8,1,0.578333,721,4004,4725
229,2011-08-17,3,0,8,1,0.575417,668,4026,4694
230,2011-08-18,3,0,8,1,0.654583,639,3166,3805
231,2011-08-19,3,0,8,2,0.722917,797,3356,4153
232,2011-08-20,3,0,8,1,0.674167,1914,3277,5191
233,2011-08-21,3,0,8,1,0.77,1249,2624,3873
234,2011-08-22,3,0,8,1,0.47,833,3925,4758
235,2011-08-23,3,0,8,1,0.455417,1281,4614,5895
236,2011-08-24,3,0,8,1,0.605,949,4181,5130
237,2011-08-25,3,0,8,2,0.771667,435,3107,3542
238,2011-08-26,3,0,8,1,0.76125,768,3893,4661
239,2011-08-27,3,0,8,2,0.85,226,889,1115
240,2011-08-28,3,0,8,1,0.561765,1415,2919,4334
241,2011-08-29,3,0,8,1,0.554583,729,3905,4634
242,2011-08-30,3,0,8,1,0.548333,775,4429,5204
243,2011-08-31,3,0,8,1,0.597917,688,4370,5058
244,2011-09-01,3,0,9,1,0.639167,783,4332,5115
245,2011-09-02,3,0,9,2,0.727083,875,3852,4727
246,2011-09-03,3,0,9,1,0.716667,1935,2549,4484
247,2011-09-04,3,0,9,1,0.742083,2521,2419,4940
248,2011-09-05,3,0,9,2,0.790417,1236,2115,3351
249,2011-09-06,3,0,9,3,0.886957,204,2506,2710
250,2011-09-07,3,0,9,3,0.917083,118,1878,1996
251,2011-09-08,3,0,9,3,0.939565,153,1689,1842
252,2011-09-09,3,0,9,2,0.897917,417,3127,3544
253,2011-09-10,3,0,9,1,0.75375,1750,3595,5345
254,2011-09-11,3,0,9,1,0.71375,1633,3413,5046
255,2011-09-12,3,0,9,1,0.692174,690,4023,4713
256,2011-09-13,3,0,9,1,0.7125,701,4062,4763
257,2011-09-14,3,0,9,1,0.697083,647,4138,4785
258,2011-09-15,3,0,9,2,0.709167,428,3231,3659
259,2011-09-16,3,0,9,2,0.590417,742,4018,4760
260,2011-09-17,3,0,9,2,0.718333,1434,3077,4511
261,2011-09-18,3,0,9,1,0.695,1353,2921,4274
262,2011-09-19,3,0,9,2,0.69,691,3848,4539
263,2011-09-20,3,0,9,2,0.88125,438,3203,3641
264,2011-09-21,3,0,9,2,0.9,539,3813,4352
265,2011-09-22,3,0,9,2,0.902083,555,4240,4795
266,2011-09-23,4,0,9,2,0.9725,258,2137,2395
267,2011-09-24,4,0,9,2,0.8625,1776,3647,5423
268,2011-09-25,4,0,9,2,0.845,1544,3466,5010
269,2011-09-26,4,0,9,2,0.848333,684,3946,4630
270,2011-09-27,4,0,9,2,0.885417,477,3643,4120
271,2011-09-28,4,0,9,2,0.84875,480,3427,3907
272,2011-09-29,4,0,9,1,0.699167,653,4186,4839
273,2011-09-30,4,0,9,1,0.6475,830,4372,5202
274,2011-10-01,4,0,10,2,0.75375,480,1949,2429
275,2011-10-02,4,0,10,2,0.791667,616,2302,2918
276,2011-10-03,4,0,10,2,0.760833,330,3240,3570
277,2011-10-04,4,0,10,1,0.71,486,3970,4456
278,2011-10-05,4,0,10,1,0.647917,559,4267,4826
279,2011-10-06,4,0,10,1,0.620833,639,4126,4765
280,2011-10-07,4,0,10,1,0.684167,949,4036,4985
